name,budget.x,company.x,country.x,director.x,genre.x,gross.x,rating.x,released.x,runtime.x,score.x,star.x,votes.x,writer.x,year.x,YoutubeLikes,YoutubeDislike,Youtube ViewCount,Twitter Sentiment
Hitchcock,0,Fox Searchlight Pictures,USA,Sacha Gervasi,Biography,6008677,PG-13,14/12/2012,98,6.8,Anthony Hopkins,64089,John J. McLaughlin,2012,1290,14,,1
Hitman - Agente 47,24000000,Twentieth Century Fox Film Corporation,France,Xavier Gens,Action,39687694,R,21/11/2007,100,6.3,Timothy Olyphant,146777,Skip Woods,2007,1178,142,262879,1
Hitman: Agent 47,35000000,Twentieth Century Fox Film Corporation,USA,Aleksander Bach,Action,22464430,R,21/08/2015,96,5.7,Rupert Friend,72970,Skip Woods,2015,62672,4837,,2
Hobo with a Shotgun,3000000,Rhombus Media,Canada,Jason Eisener,Action,703002,NOT RATED,12/05/2011,86,6.1,Rutger Hauer,39392,John Davies,2011,1009,57,191828,1
Hollywoodland,28000000,Focus Features,USA,Allen Coulter,Biography,14415222,R,08/09/2006,126,6.5,Adrien Brody,30288,Paul Bernbaum,2006,310,13,86571,1
Hombre lobo,0,Lionsgate,Canada,James Isaac,Action,1018965,R,10/08/2007,110,4.6,Jason Behr,12056,James DeMonaco,2006,157068,8636,46842410,2
Home,135000000,DreamWorks Animation,USA,Tim Johnson,Animation,177397510,PG,27/03/2015,94,6.7,Jim Parsons,79374,Tom J. Astle,2015,481088,12723,,2
Homefront,22000000,Open Road Films (II),USA,Gary Fleder,Action,19783777,R,27/11/2013,100,6.5,Jason Statham,90430,Sylvester Stallone,2013,23684,856,,0
Honeymoon,1000000,Fewlas Entertainment,USA,Leigh Janiak,Horror,9168,R,12/09/2014,87,5.7,Rose Leslie,20262,Phil Graziadei,2014,133147,2621,,1
Hop,63000000,Universal Pictures,USA,Tim Hill,Animation,108085305,PG,01/04/2011,100,5.5,Russell Brand,26043,Cinco Paul,2011,383,123,587403,1
Hope Springs,30000000,Columbia Pictures,USA,David Frankel,Comedy,63536011,PG-13,08/08/2012,100,6.3,Meryl Streep,36501,Vanessa Taylor,2012,34,2,,1
Horizonte profundo,110000000,Summit Entertainment,Hong Kong,Peter Berg,Action,61284947,PG-13,30/09/2016,107,7.2,Mark Wahlberg,104498,Matthew Michael Carnahan,2016,731,35,,0
Horns,0,Red Granite Pictures,USA,Alexandre Aja,Drama,164480,R,03/10/2014,120,6.5,Daniel Radcliffe,63156,Keith Bunin,2013,104353,1207,,1
Horrible Bosses,35000000,New Line Cinema,USA,Seth Gordon,Comedy,117538559,R,08/07/2011,106,6.9,Jason Bateman,375032,Michael Markowitz,2011,117,88,1523445,2
Horrible Bosses 2,42000000,BenderSpink,USA,Sean Anders,Comedy,54445357,R,26/11/2014,108,6.3,Jason Bateman,129349,Sean Anders,2014,7388,423,,2
Horton Hears a Who!,85000000,Blue Sky Studios,USA,Jimmy Hayward,Animation,154529439,G,14/03/2008,86,6.8,Jim Carrey,113151,Ken Daurio,2008,768,101,336735,1
Hostel: Part II,10000000,Lionsgate,USA,Eli Roth,Horror,17609452,R,08/06/2007,94,5.5,Lauren German,74531,Eli Roth,2007,1744,446,561333,1
Hot Fuzz,0,Universal Pictures,UK,Edgar Wright,Action,23637265,R,20/04/2007,121,7.9,Simon Pegg,385466,Edgar Wright,2007,262,93,3486618,1
Hot Pursuit,35000000,Metro-Goldwyn-Mayer (MGM),USA,Anne Fletcher,Action,34507079,PG-13,08/05/2015,87,5.1,Reese Witherspoon,40431,David Feeney,2015,37825,1489,,1
Hot Rod,0,Paramount Pictures,USA,Akiva Schaffer,Comedy,13920741,PG-13,03/08/2007,100,6.7,Andy Samberg,64550,Pam Brady,2007,41,1,1191479,1
Hot Tub Time Machine,36000000,Metro-Goldwyn-Mayer (MGM),USA,Steve Pink,Comedy,50287556,R,26/03/2010,101,6.4,John Cusack,145648,Josh Heald,2010,876,95,219373,0
Hot Tub Time Machine 2,14000000,Paramount Pictures,USA,Steve Pink,Comedy,12282677,R,20/02/2015,93,5.1,Rob Corddry,31612,Josh Heald,2015,879,97,,1
Hotel para perros,35000000,DreamWorks,Germany,Thor Freudenthal,Comedy,73034460,PG,16/01/2009,100,5.4,Emma Roberts,17784,Jeff Lowell,2009,402,40,204868,0
Hotel Transylvania,85000000,Columbia Pictures,USA,Genndy Tartakovsky,Animation,148313048,PG,28/09/2012,91,7.1,Adam Sandler,180944,Peter Baynham,2012,176973,23730,,1
Hotel Transylvania 2,80000000,Columbia Pictures,USA,Genndy Tartakovsky,Animation,169700110,PG,25/09/2015,89,6.7,Adam Sandler,73328,Robert Smigel,2015,392,59,,1
Hounddog,3750000,Deerjen Films,USA,Deborah Kampmeier,Drama,128092,R,22/01/2007,100,6.3,Dakota Fanning,5408,Deborah Kampmeier,2007,261,15,141064,1
House at the End of the Street,6900000,Relativity Media,Canada,Mark Tonderai,Drama,31611916,PG-13,21/09/2012,101,5.6,Jennifer Lawrence,62147,David Loucka,2012,498,41,,1
House of Tolerance,0,Les Films du Lendemain,France,Bertrand Bonello,Drama,19327,NOT RATED,25/11/2011,122,6.8,Noémie Lvovsky,4868,Bertrand Bonello,2011,0,5,919548,1
