budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Likes,Dislike
0,Warp Films,UK,Shane Meadows,Crime,327919,This Is England,UNRATED,27-04-2007,101,7.7,Thomas Turgoose,104084,Shane Meadows,2006,578,5
27000000,The Weinstein Company,Germany,Paul McGuigan,Crime,22494487,Lucky Number Slevin,R,07-04-2006,110,7.8,Josh Hartnett,275930,Jason Smilovic,2006,1215,57
110000000,Twentieth Century Fox Film Corporation,USA,Shawn Levy,Adventure,250863268,Night at the Museum,PG,22-12-2006,108,6.4,Ben Stiller,257969,Robert Ben Garant,2006,5038,346
75000000,Columbia Pictures,USA,Gil Kenan,Animation,73661010,Monster House,PG,21-07-2006,91,6.6,Mitchel Musso,79512,Dan Harmon,2006,2767,349
20000000,Screen Gems,USA,Renny Harlin,Action,23292105,The Covenant,PG-13,08-09-2006,97,5.3,Steven Strait,41469,J.S. Cardone,2006,31,2
160000000,Warner Bros.,USA,Wolfgang Petersen,Action,60674817,Poseidon,PG-13,12-05-2006,98,5.6,Richard Dreyfuss,86466,Mark Protosevich,2006,24234,1793
70000000,DreamWorks,USA,Bill Condon,Drama,103365956,Dreamgirls,PG-13,25-12-2006,130,6.5,Beyoncé Knowles,60034,Tom Eyen,2006,119,39
0,Showbox Entertainment,South Korea,Joon-ho Bong,Action,2201923,The Host,R,30-03-2007,120,7,Kang-ho Song,76265,Joon-ho Bong,2006,17,7
23000000,Universal Pictures,USA,Steve Pink,Comedy,36323505,Accepted,PG-13,18-08-2006,93,6.5,Justin Long,110788,Adam Cooper,2006,19,17
15000000,Paramount Classics,USA,Craig Brewer,Drama,9396870,Black Snake Moan,R,02-03-2007,116,7,Christina Ricci,55548,Craig Brewer,2006,4022,131
70000000,Metro-Goldwyn-Mayer (MGM),UK,Michael Caton-Jones,Drama,5971336,Basic Instinct 2,R,31-03-2006,114,4.2,Sharon Stone,32861,Leora Barish,2006,20,4
26000000,New Line Cinema,USA,Todd Field,Drama,5463019,Little Children,R,09-02-2007,136,7.6,Kate Winslet,96259,Todd Field,2006,261153,4872
65000000,Columbia Pictures,UK,Barry Sonnenfeld,Adventure,71726025,RV,PG,28-04-2006,99,5.5,Robin Williams,49145,Geoff Rodkey,2006,17141,148
90000000,Universal Pictures,USA,Robert De Niro,Drama,59952835,The Good Shepherd,R,22-12-2006,167,6.7,Matt Damon,90199,Eric Roth,2006,484,199
65000000,Warner Bros.,USA,McG,Drama,43545364,We Are Marshall,PG,22-12-2006,131,7.1,Matthew McConaughey,50115,Jamie Linden,2006,4,1
100000000,Fox 2000 Pictures,USA,Stefen Fangmeier,Action,75030163,Eragon,PG,15-12-2006,104,5.1,Ed Speleers,112350,Peter Buchman,2006,32801,1822
8700000,Warner Independent Pictures (WIP),USA,Richard Linklater,Animation,5501616,A Scanner Darkly,R,28-07-2006,100,7.1,Keanu Reeves,94464,Philip K. Dick,2006,6616,163
21000000,Fu Works,Netherlands,Paul Verhoeven,Drama,4398392,Black Book,R,18-05-2007,145,7.8,Carice van Houten,63950,Gerard Soeteman,2006,811,67
0,StudioCanal,France,David Lynch,Drama,751138,El imperio,R,06-07-2007,180,7,Laura Dern,45610,David Lynch,2006,9762,732
70000000,Warner Bros.,USA,M. Night Shyamalan,Drama,42285169,Lady in the Water,PG-13,21-07-2006,110,5.6,Paul Giamatti,84057,M. Night Shyamalan,2006,960,86
2000000,THINKFilm,USA,John Cameron Mitchell,Drama,1985292,Shortbus,UNRATED,20-10-2006,101,6.5,Sook-Yin Lee,28807,John Cameron Mitchell,2006,2387,345
0,Red Hour Films,USA,Liam Lynch,Adventure,8319186,Tenacious D in The Pick of Destiny,R,22-11-2006,93,6.8,Jack Black,90830,Jack Black,2006,1380,202
19000000,DreamWorks,USA,Clint Eastwood,Drama,13756082,Letters from Iwo Jima,R,02-02-2007,141,7.9,Ken Watanabe,139014,Iris Yamashita,2006,3891,121
12000000,Lakeshore Entertainment,USA,Mark Neveldine,Action,27829874,Crank,R,01-09-2006,88,7,Jason Statham,208393,Mark Neveldine,2006,37,35
19400000,WIP,China,John Curran,Drama,8060487,Al otro lado del mundo,PG-13,19-01-2007,125,7.5,Naomi Watts,81655,Ron Nyswaner,2006,5815,568
38000000,Columbia Pictures,USA,Marc Forster,Comedy,40137776,Stranger Than Fiction,PG-13,10-11-2006,113,7.6,Will Ferrell,196901,Zach Helm,2006,484,199
63000000,Paramount Pictures,USA,Oliver Stone,Drama,70278893,World Trade Center,PG-13,09-08-2006,129,6,Nicolas Cage,70654,Andrea Berloff,2006,19248,1753
15500000,Gold Circle Films,Canada,James Gunn,Comedy,7774730,Criaturas rastreras,R,31-03-2006,95,6.5,Nathan Fillion,65460,James Gunn,2006,16556,154
100000000,Warner Bros.,USA,George Miller,Animation,198000317,Happy Feet,PG,17-11-2006,108,6.5,Elijah Wood,144200,George Miller,2006,52649,3449
40000000,Walt Disney Pictures,USA,Frank Marshall,Adventure,81612565,Eight Below,PG,17-02-2006,120,7.3,Paul Walker,52356,David DiGilio,2006,32,14
40000000,Warner Bros.,USA,Alejandro Agresti,Drama,52330111,The Lake House,PG,16-06-2006,99,6.8,Keanu Reeves,121026,David Auburn,2006,2055,41
90000000,DreamWorks,USA,Clint Eastwood,Drama,33602376,Flags of our Fathers,R,20-10-2006,135,7.1,Ryan Phillippe,106291,William Broyles Jr.,2006,669,31
80000000,DreamWorks Animation,USA,Tim Johnson,Animation,155019340,Over the Hedge,PG,19-05-2006,83,6.8,Bruce Willis,136214,Len Blum,2006,65,9
6000000,Fox Searchlight Pictures,UK,Kevin Macdonald,Biography,17605861,The Last King of Scotland,R,19-01-2007,123,7.7,James McAvoy,154942,Peter Morgan,2006,2474,108
50000000,Screen Gems,USA,Len Wiseman,Action,62318875,Underworld: Evolution,R,20-01-2006,106,6.7,Kate Beckinsale,169745,Danny McBride,2006,241,5
149000000,Aardman Animations,UK,David Bowers,Animation,64665672,Flushed Away,PG,03-11-2006,85,6.6,Hugh Jackman,92380,Dick Clement,2006,1923,250
25000000,New Line Cinema,Germany,James Wong,Horror,54098051,Destino final 3,R,10-02-2006,93,5.8,Mary Elizabeth Winstead,110532,Glen Morgan,2006,6892,408
15000000,Universal Pictures,USA,Paul Greengrass,Drama,31567134,United 93,R,28-04-2006,111,7.6,David Alan Basche,87699,Paul Greengrass,2006,8678,1033
30000000,Screen Gems,USA,Kurt Wimmer,Action,18500966,Ultraviolet,PG-13,03-03-2006,88,4.4,Milla Jovovich,73282,Kurt Wimmer,2006,13350,296
10000000,Metro-Goldwyn-Mayer (MGM),USA,Werner Herzog,Adventure,5490423,Rescue Dawn,PG-13,27-07-2007,120,7.3,Christian Bale,89482,Werner Herzog,2006,1865,115
0,Left Turn Films,UK,Sean Ellis,Comedy,24942,Cashback,R,18-04-2008,102,7.2,Sean Biggerstaff,76132,Sean Ellis,2006,592,29
0,Les Productions du Trésor,France,Guillaume Canet,Crime,6177192,Tell No One,UNRATED,08-08-2008,131,7.6,François Cluzet,41947,Guillaume Canet,2006,484,199
32000000,Paramount Pictures,Germany,Jared Hess,Comedy,80197993,Nacho Libre,PG,16-06-2006,92,5.7,Jack Black,69721,Jared Hess,2006,8690,638
15000000,Fox Searchlight Pictures,UK,Richard Eyre,Crime,17508670,Notes on a Scandal,R,26-01-2007,92,7.4,Cate Blanchett,67309,Patrick Marber,2006,13,7
0,Pathé Pictures International,UK,Stephen Frears,Biography,56441711,The Queen,PG-13,17-11-2006,103,7.3,Helen Mirren,91427,Peter Morgan,2006,484,199
33000000,New Line Cinema,Germany,David R. Ellis,Action,34020814,Serpientes a bordo,R,18-08-2006,105,5.6,Samuel L. Jackson,120282,John Heffernan,2006,632,30
40000000,Walt Disney Pictures,USA,Ericson Core,Biography,57789574,Invincible,PG,25-08-2006,105,7.1,Mark Wahlberg,55713,Brad Gann,2006,1069607,32557
12000000,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Comedy,18595716,Aquamarine,PG,03-03-2006,100,5.3,Emma Roberts,33023,John Quaintance,2006,9761,481
0,Madhouse,Japan,Satoshi Kon,Animation,881302,Paprika,R,22-06-2007,90,7.7,Megumi Hayashibara,51679,Yasutaka Tsutsui,2006,296,101
40000000,Warner Bros.,USA,Neil LaBute,Horror,23643531,The Wicker Man,PG-13,01-09-2006,102,3.7,Nicolas Cage,56253,Neil LaBute,2006,51,32
20000000,Twentieth Century Fox Film Corporation,USA,John Bonito,Action,18843314,The Marine,PG-13,13-10-2006,92,4.7,John Cena,28911,Michelle Gallagher,2006,3380,217
17500000,Warner Bros.,USA,Jay Chandrasekhar,Comedy,19185184,Beerfest,R,25-08-2006,110,6.3,Jay Chandrasekhar,57005,Jay Chandrasekhar,2006,4,1
50000000,Universal Pictures,Germany,Brian De Palma,Crime,22518325,La Dalia Negra,R,15-09-2006,121,5.6,Josh Hartnett,65604,Josh Friedman,2006,128409,1875
25000000,Twentieth Century Fox Film Corporation,USA,John Moore,Horror,54607383,The Omen,R,06-06-2006,110,5.5,Liev Schreiber,50944,David Seltzer,2006,4559,286
4000000,Lions Gate Films,USA,William Friedkin,Drama,7006708,Bug,R,25-05-2007,102,6.1,Ashley Judd,29353,Tracy Letts,2006,7028,1068
28000000,New Regency Pictures,USA,Donald Petrie,Comedy,17324744,Just My Luck,PG-13,12-05-2006,100,5.4,Lindsay Lohan,47270,I. Marlene King,2006,61549,505
33000000,Revolution Studios,USA,Dennis Dugan,Action,57651794,The Benchwarmers,PG-13,07-04-2006,80,5.6,David Spade,42905,Allen Covert,2006,15,10
45000000,Dimension Films,USA,David Zucker,Comedy,90710620,Scary Movie 4,PG-13,14-04-2006,83,5.1,Anna Faris,99473,Craig Mazin,2006,2478,161
50000000,Paramount Pictures,USA,Tom Dey,Comedy,88715192,Failure to Launch,PG-13,10-03-2006,97,5.6,Matthew McConaughey,62338,Tom J. Astle,2006,1438,120
4000000,BBC Films,UK,Woody Allen,Comedy,10525717,Scoop,PG-13,28-07-2006,96,6.7,Scarlett Johansson,71751,Woody Allen,2006,290,26
10000000,Fox Atomic,USA,John Stockwell,Horror,7025803,Turistas,R,01-12-2006,93,5.3,Josh Duhamel,32558,Michael Arlen Ross,2006,10876,2099
21000000,Constantin Film,USA,Corey Yuen,Action,480314,DOA: Dead or Alive,PG-13,15-06-2007,87,4.8,Jaime Pressly,39969,J.F. Lawton,2006,796,95
70000000,Touchstone Pictures,USA,Andrew Davis,Action,55011732,The Guardian,PG-13,29-09-2006,139,6.9,Kevin Costner,78977,Ron L. Brinkerhoff,2006,2212,85
0,ROMP,India,Rakeysh Omprakash Mehra,Comedy,2197331,Rang De Basanti,NOT RATED,26-01-2006,157,8.3,Aamir Khan,84309,Renzil D'Silva,2006,9455,374
0,Canal+ España,Spain,Pedro Almodóvar,Comedy,12899867,Volver,R,26-01-2007,121,7.6,Penélope Cruz,81978,Pedro Almodóvar,2006,1324,84
15000000,Screen Gems,USA,Simon West,Horror,47860214,When a Stranger Calls,PG-13,03-02-2006,87,5.1,Camilla Belle,37253,Jake Wade Wall,2006,285,11
65000000,Metro-Goldwyn-Mayer (MGM),USA,Shawn Levy,Adventure,82226474,The Pink Panther,PG,10-02-2006,93,5.6,Steve Martin,70105,Len Blum,2006,1192,410
10000000,DEJ Productions,USA,Victor Salva,Drama,3960414,Peaceful Warrior,PG-13,23-06-2006,100,7.3,Scott Mechlowicz,22445,Kevin Bernhardt,2006,17747,840
1000000,No Matter Pictures,USA,Goran Dukic,Comedy,316996,Wristcutters: A Love Story,R,02-11-2007,88,7.4,Patrick Fugit,48536,Goran Dukic,2006,72,1
35000000,Revolution Studios,USA,Peter Hewitt,Action,11631245,Zoom,PG,11-08-2006,100,4.3,Tim Allen,16115,Adam Rifkin,2006,15540,665
0,Qwerty Films,UK,Christopher Smith,Comedy,136432,Severance,R,07-09-2007,96,6.5,Danny Dyer,33173,James Moran,2006,166,17
0,Paramount Pictures,USA,Gary Winick,Comedy,82985708,Charlotte's Web,G,15-12-2006,97,6.3,Dakota Fanning,30383,Susannah Grant,2006,150,11
15000000,Summit Entertainment,UK,Mark Palansky,Comedy,10011274,Penelope,PG,29-02-2008,104,6.8,Christina Ricci,53683,Leslie Caveny,2006,61196,755
